block,cex_price,dex_price,band_low,band_high,source_output_data
3047,2007.4675882761185,2007.8771397773394,2007.0661349038005,2007.8691219471407,/home/danielemdn/Documents/repositories/ABM_Uni_v3/abm_results/scenarios/section4_microstructure_diagnostics/runs/static_seed10_T13000/output_data
3048,2007.6145942822116,2007.8691219471407,2007.2131115116324,2008.0161573573755,/home/danielemdn/Documents/repositories/ABM_Uni_v3/abm_results/scenarios/section4_microstructure_diagnostics/runs/static_seed10_T13000/output_data
3049,2006.540767361532,2007.8691219471407,2006.1394993348624,2006.942115649833,/home/danielemdn/Documents/repositories/ABM_Uni_v3/abm_results/scenarios/section4_microstructure_diagnostics/runs/static_seed10_T13000/output_data
3050,2007.8283306098085,2007.0915437704866,2007.426805096238,2008.229936436513,/home/danielemdn/Documents/repositories/ABM_Uni_v3/abm_results/scenarios/section4_microstructure_diagnostics/runs/static_seed10_T13000/output_data
3051,2007.8716045924923,2007.1733846064224,2007.4700704249906,2008.2732190748588,/home/danielemdn/Documents/repositories/ABM_Uni_v3/abm_results/scenarios/section4_microstructure_diagnostics/runs/static_seed10_T13000/output_data
3052,2008.2251619649987,2002.7630229633664,2007.823557093093,2008.6268471659118,/home/danielemdn/Documents/repositories/ABM_Uni_v3/abm_results/scenarios/section4_microstructure_diagnostics/runs/static_seed10_T13000/output_data
3053,2007.2375272327724,2007.4949910318858,2006.8361198680625,2007.6390148869843,/home/danielemdn/Documents/repositories/ABM_Uni_v3/abm_results/scenarios/section4_microstructure_diagnostics/runs/static_seed10_T13000/output_data
3054,2007.0985523520571,2008.450159447497,2006.6971727795442,2007.500012208513,/home/danielemdn/Documents/repositories/ABM_Uni_v3/abm_results/scenarios/section4_microstructure_diagnostics/runs/static_seed10_T13000/output_data
3055,2000.1258036285772,2019.432787144744,1999.7258184663676,2000.5258687958196,/home/danielemdn/Documents/repositories/ABM_Uni_v3/abm_results/scenarios/section4_microstructure_diagnostics/runs/static_seed10_T13000/output_data
3056,1998.3137220577862,1998.7322652752675,1997.914099275653,1998.7134247724694,/home/danielemdn/Documents/repositories/ABM_Uni_v3/abm_results/scenarios/section4_microstructure_diagnostics/runs/static_seed10_T13000/output_data
3057,1999.422629754669,1998.7134247724696,1999.0227852131725,1999.8225542730718,/home/danielemdn/Documents/repositories/ABM_Uni_v3/abm_results/scenarios/section4_microstructure_diagnostics/runs/static_seed10_T13000/output_data
3058,2000.5670466521613,1998.9766616574304,2000.166973250171,2000.9672000768342,/home/danielemdn/Documents/repositories/ABM_Uni_v3/abm_results/scenarios/section4_microstructure_diagnostics/runs/static_seed10_T13000/output_data
3059,1999.9515124199424,2000.4624331236935,1999.5515621124894,2000.3515427254567,/home/danielemdn/Documents/repositories/ABM_Uni_v3/abm_results/scenarios/section4_microstructure_diagnostics/runs/static_seed10_T13000/output_data
3060,2000.779687024874,2000.0518878149283,2000.3795710990616,2001.1798829818747,/home/danielemdn/Documents/repositories/ABM_Uni_v3/abm_results/scenarios/section4_microstructure_diagnostics/runs/static_seed10_T13000/output_data
3061,2000.5680406066685,2000.4807347372273,2000.1679670059073,2000.9681942301522,/home/danielemdn/Documents/repositories/ABM_Uni_v3/abm_results/scenarios/section4_microstructure_diagnostics/runs/static_seed10_T13000/output_data
3062,1994.9569820359716,2000.016414737716,1994.5580305347146,1995.3560133355086,/home/danielemdn/Documents/repositories/ABM_Uni_v3/abm_results/scenarios/section4_microstructure_diagnostics/runs/static_seed10_T13000/output_data
3063,1995.1261818162336,1995.1599664438115,1994.727196478404,1995.5252469591112,/home/danielemdn/Documents/repositories/ABM_Uni_v3/abm_results/scenarios/section4_microstructure_diagnostics/runs/static_seed10_T13000/output_data
3064,1996.1427522758636,1995.1599664438115,1995.7435636442717,1996.5420207531665,/home/danielemdn/Documents/repositories/ABM_Uni_v3/abm_results/scenarios/section4_microstructure_diagnostics/runs/static_seed10_T13000/output_data
3065,1996.385182784013,1995.3919629733457,1995.9859456711677,1996.7844997522666,/home/danielemdn/Documents/repositories/ABM_Uni_v3/abm_results/scenarios/section4_microstructure_diagnostics/runs/static_seed10_T13000/output_data
3066,1996.1070910169929,1998.9468204742573,1995.7079095169395,1996.5063523613308,/home/danielemdn/Documents/repositories/ABM_Uni_v3/abm_results/scenarios/section4_microstructure_diagnostics/runs/static_seed10_T13000/output_data
3067,1996.9998359555332,1994.6832019063017,1996.6004759243451,1997.3992758667155,/home/danielemdn/Documents/repositories/ABM_Uni_v3/abm_results/scenarios/section4_microstructure_diagnostics/runs/static_seed10_T13000/output_data
3068,1997.4475210244811,1999.8704157951438,1997.0480714652324,1997.8470504816316,/home/danielemdn/Documents/repositories/ABM_Uni_v3/abm_results/scenarios/section4_microstructure_diagnostics/runs/static_seed10_T13000/output_data
3069,1995.0107832543918,1997.8470504816314,1994.6118209939668,1995.4098253152488,/home/danielemdn/Documents/repositories/ABM_Uni_v3/abm_results/scenarios/section4_microstructure_diagnostics/runs/static_seed10_T13000/output_data
3070,1995.6753712896702,1999.3315795705505,1995.2762761249287,1996.0745462814275,/home/danielemdn/Documents/repositories/ABM_Uni_v3/abm_results/scenarios/section4_microstructure_diagnostics/runs/static_seed10_T13000/output_data
3071,1995.7442087281008,1996.0745462814273,1995.3450997972484,1996.1433974887225,/home/danielemdn/Documents/repositories/ABM_Uni_v3/abm_results/scenarios/section4_microstructure_diagnostics/runs/static_seed10_T13000/output_data
3072,1993.4520742956577,2009.3627273453023,1993.0534237458535,1993.8508045835456,/home/danielemdn/Documents/repositories/ABM_Uni_v3/abm_results/scenarios/section4_microstructure_diagnostics/runs/static_seed10_T13000/output_data
3073,1990.787975971107,1993.8508045835456,1990.389858187691,1991.1861733860428,/home/danielemdn/Documents/repositories/ABM_Uni_v3/abm_results/scenarios/section4_microstructure_diagnostics/runs/static_seed10_T13000/output_data
3074,1985.5920481429175,1989.5115930670504,1985.1949694411592,1985.9892062683587,/home/danielemdn/Documents/repositories/ABM_Uni_v3/abm_results/scenarios/section4_microstructure_diagnostics/runs/static_seed10_T13000/output_data
3075,1977.1755284683434,1980.2710801298867,1976.7801329022063,1977.5710031215024,/home/danielemdn/Documents/repositories/ABM_Uni_v3/abm_results/scenarios/section4_microstructure_diagnostics/runs/static_seed10_T13000/output_data
3076,1977.5624217578418,1984.8712682780763,1977.166948820784,1977.9579737973972,/home/danielemdn/Documents/repositories/ABM_Uni_v3/abm_results/scenarios/section4_microstructure_diagnostics/runs/static_seed10_T13000/output_data
3077,1977.4327165694192,1966.9586629347664,1977.0372695708052,1977.8282426653427,/home/danielemdn/Documents/repositories/ABM_Uni_v3/abm_results/scenarios/section4_microstructure_diagnostics/runs/static_seed10_T13000/output_data
3078,1976.776166117477,1977.0372695708054,1976.3808504158237,1977.171560890178,/home/danielemdn/Documents/repositories/ABM_Uni_v3/abm_results/scenarios/section4_microstructure_diagnostics/runs/static_seed10_T13000/output_data
3079,1977.326989298984,1977.0372695708054,1976.9315634437098,1977.7224942473388,/home/danielemdn/Documents/repositories/ABM_Uni_v3/abm_results/scenarios/section4_microstructure_diagnostics/runs/static_seed10_T13000/output_data
3080,1978.3107174126158,1978.5544335408126,1977.9150948313913,1978.7064191262698,/home/danielemdn/Documents/repositories/ABM_Uni_v3/abm_results/scenarios/section4_microstructure_diagnostics/runs/static_seed10_T13000/output_data
3081,1976.0227426722079,1978.5544335408126,1975.6275776401767,1976.4179867451496,/home/danielemdn/Documents/repositories/ABM_Uni_v3/abm_results/scenarios/section4_microstructure_diagnostics/runs/static_seed10_T13000/output_data
3082,1974.2325112593012,1976.4179867451496,1973.8377042377515,1974.6273972501522,/home/danielemdn/Documents/repositories/ABM_Uni_v3/abm_results/scenarios/section4_microstructure_diagnostics/runs/static_seed10_T13000/output_data
3083,1974.1666357150134,1974.6273972501524,1973.7718418672553,1974.5615085294378,/home/danielemdn/Documents/repositories/ABM_Uni_v3/abm_results/scenarios/section4_microstructure_diagnostics/runs/static_seed10_T13000/output_data
3084,1974.2344462144395,1974.561508529438,1973.8396388059375,1974.62933259232,/home/danielemdn/Documents/repositories/ABM_Uni_v3/abm_results/scenarios/section4_microstructure_diagnostics/runs/static_seed10_T13000/output_data
3085,1974.9469044234472,1957.8247903613142,1974.5519545375512,1975.3419333072202,/home/danielemdn/Documents/repositories/ABM_Uni_v3/abm_results/scenarios/section4_microstructure_diagnostics/runs/static_seed10_T13000/output_data
3086,1974.6703851783525,1975.5336424037914,1974.2754905907757,1975.0653587527454,/home/danielemdn/Documents/repositories/ABM_Uni_v3/abm_results/scenarios/section4_microstructure_diagnostics/runs/static_seed10_T13000/output_data
3087,1973.4788401309731,1975.0653587527452,1973.0841838285774,1973.8735753725234,/home/danielemdn/Documents/repositories/ABM_Uni_v3/abm_results/scenarios/section4_microstructure_diagnostics/runs/static_seed10_T13000/output_data
3088,1974.138986168163,1974.4971371398617,1973.7441978497613,1974.533853452125,/home/danielemdn/Documents/repositories/ABM_Uni_v3/abm_results/scenarios/section4_microstructure_diagnostics/runs/static_seed10_T13000/output_data
3089,1972.8216187173293,1974.4971371398617,1972.427093846073,1973.2162225014513,/home/danielemdn/Documents/repositories/ABM_Uni_v3/abm_results/scenarios/section4_microstructure_diagnostics/runs/static_seed10_T13000/output_data
3090,1969.42743981601,1972.996046981258,1969.0335937126574,1969.8213646964612,/home/danielemdn/Documents/repositories/ABM_Uni_v3/abm_results/scenarios/section4_microstructure_diagnostics/runs/static_seed10_T13000/output_data
