block_time,fee_schedule,fee_schedule_label,cohort,cohort_label,n,mean,std,median_R,p2_5,p25,p75,p97_5,source
4,toxicity,Toxicity,jiter,Jiter,829993,0.105154849102811,1.2139279442880138,0.5876059849957439,-1.9960093024609176,-0.9941410092344524,1.0295199518377316,1.838269056495113,/mnt/external/scenarios/model2_tox/lvr_vs_blocksize/toxicity_flow_model2_tox_runs50_B2to16_seed10_step1_2/dLVR_over_dFees_summary.csv
4,volatility_cex,Volatility (CEX),active,Active LPs,4698570,11.575117973655708,19224.804072696723,1.0032758709773235,-2.6926201457114,-0.0379490509651925,1.7296092348794756,4.446937275896734,/mnt/external/scenarios/model2_vol_cex/lvr_vs_blocksize/volatility_cex_flow_model2_vol_cex_runs50_B2to16_seed10_step1_2/dLVR_over_dFees_summary.csv
4,volatility_cex,Volatility (CEX),passive,Passive LPs,4702686,0.8293685598717082,2.378698670573097,0.9781266988679348,-2.704320023435474,-0.0500223885938375,1.6869994378730144,4.224413260897624,/mnt/external/scenarios/model2_vol_cex/lvr_vs_blocksize/volatility_cex_flow_model2_vol_cex_runs50_B2to16_seed10_step1_2/dLVR_over_dFees_summary.csv
4,volatility_cex,Volatility (CEX),jiter,Jiter,513967,-0.1192292262331086,1.63366331853126,0.0340291021731133,-3.3554947132057245,-1.1549089198052025,0.9516821571184598,2.679049309158573,/mnt/external/scenarios/model2_vol_cex/lvr_vs_blocksize/volatility_cex_flow_model2_vol_cex_runs50_B2to16_seed10_step1_2/dLVR_over_dFees_summary.csv
4,volatility_dex,Volatility (DEX),active,Active LPs,4650854,442525.56221544,954332852.3455144,1.0359123855835342,-3.551261285872465,-0.1546342441035358,2.1545966424063407,7.109598473825557,/mnt/external/scenarios/model2_vol_dex/lvr_vs_blocksize/volatility_dex_flow_model2_vol_dex_runs50_B2to16_seed10_step1_2/dLVR_over_dFees_summary.csv
4,volatility_dex,Volatility (DEX),passive,Passive LPs,4662073,1.0662052429047222,2.8382467520711776,1.0054516294968794,-3.608092273625392,-0.1665851879469445,2.0780090235061417,6.711126263700041,/mnt/external/scenarios/model2_vol_dex/lvr_vs_blocksize/volatility_dex_flow_model2_vol_dex_runs50_B2to16_seed10_step1_2/dLVR_over_dFees_summary.csv
4,volatility_dex,Volatility (DEX),jiter,Jiter,511997,-0.201447523815378,1.7073317791624154,-0.093351755002472,-3.668496739698455,-1.1168504836833324,0.8654456314606042,2.696303487073916,/mnt/external/scenarios/model2_vol_dex/lvr_vs_blocksize/volatility_dex_flow_model2_vol_dex_runs50_B2to16_seed10_step1_2/dLVR_over_dFees_summary.csv
5,static,Static,active,Active LPs,23019110,17.09204052706086,57017.5774365995,1.9485604027696768,-16.299722347202586,-1.583869056723183,6.099369762432416,22.759018347957387,/mnt/external/scenarios/model2_static/lvr_vs_blocksize/static_flow_model2_static_runs50_B2to16_seed10_step1_6/dLVR_over_dFees_summary.csv
5,static,Static,passive,Passive LPs,23031801,2.157112294307257,13.535167662999402,1.876884881891458,-20.053368720647494,-1.6803150205920183,5.99387797203558,24.98593453301145,/mnt/external/scenarios/model2_static/lvr_vs_blocksize/static_flow_model2_static_runs50_B2to16_seed10_step1_6/dLVR_over_dFees_summary.csv
5,static,Static,jiter,Jiter,2760,-11.15220918546425,10.31244680412138,-8.385450405986855,-36.26129745832191,-13.876910191310492,-5.141831374804437,-0.3936481466644017,/mnt/external/scenarios/model2_static/lvr_vs_blocksize/static_flow_model2_static_runs50_B2to16_seed10_step1_6/dLVR_over_dFees_summary.csv
