block_time,fee_schedule,fee_schedule_label,cohort,cohort_label,n,mean,std,median_delta_lvr,median_delta_lvr_x1e3,p2_5,p25,p75,p97_5,source
6,volatility_cex,Volatility (CEX),active,Active LPs,6367450,0.0783973739157854,0.344715475085864,0.0027197373211935,2.7197373211935,-0.0706940476078097,-3.695141913340194e-06,0.0518555323565291,0.6977203257721752,/mnt/external/scenarios/model2_vol_cex/lvr_vs_blocksize/volatility_cex_flow_model2_vol_cex_runs50_B2to16_seed10_step1_2/dLVR_summary.csv
6,volatility_cex,Volatility (CEX),passive,Passive LPs,6367450,0.002880093530522,0.049984253053457,0.0001110976245138,0.11109762451380001,-0.0039715347935763,-4.63931549887775e-06,0.0023268476899177,0.0269270136434704,/mnt/external/scenarios/model2_vol_cex/lvr_vs_blocksize/volatility_cex_flow_model2_vol_cex_runs50_B2to16_seed10_step1_2/dLVR_summary.csv
6,volatility_cex,Volatility (CEX),jiter,Jiter,987195,-0.0062246572860327,0.1509387101599184,0.0002917518905292,0.2917518905292,-0.2471216899010204,-0.0132711419486831,0.0130926349985538,0.1845104144909917,/mnt/external/scenarios/model2_vol_cex/lvr_vs_blocksize/volatility_cex_flow_model2_vol_cex_runs50_B2to16_seed10_step1_2/dLVR_summary.csv
6,volatility_dex,Volatility (DEX),active,Active LPs,6367450,0.0622137250843661,0.3143049866783557,0.0015843065974103,1.5843065974103,-0.0776252930587948,-8.067938807698738e-06,0.0380495730283365,0.5869502433900834,/mnt/external/scenarios/model2_vol_dex/lvr_vs_blocksize/volatility_dex_flow_model2_vol_dex_runs50_B2to16_seed10_step1_2/dLVR_summary.csv
6,volatility_dex,Volatility (DEX),passive,Passive LPs,6367450,0.0029286538037707,0.0536255202573342,8.462523734677876e-05,0.08462523734677875,-0.0055487624552242,-6.60725783419025e-06,0.0022781246412057,0.0329632345777222,/mnt/external/scenarios/model2_vol_dex/lvr_vs_blocksize/volatility_dex_flow_model2_vol_dex_runs50_B2to16_seed10_step1_2/dLVR_summary.csv
6,volatility_dex,Volatility (DEX),jiter,Jiter,1015779,-0.0079885939991219,0.1404752929860296,-1.4482189953923807e-06,-0.0014482189953923807,-0.2457727995502541,-0.0138840418444761,0.0105274925041669,0.172819367248152,/mnt/external/scenarios/model2_vol_dex/lvr_vs_blocksize/volatility_dex_flow_model2_vol_dex_runs50_B2to16_seed10_step1_2/dLVR_summary.csv
7,static,Static,active,Active LPs,25919950,0.0140591537355056,0.1730273149801773,0.0003304532705453,0.3304532705453,-0.1028964909145314,-0.0011801013156084,0.0083062980641628,0.2178410039567568,/mnt/external/scenarios/model2_static/lvr_vs_blocksize/static_flow_model2_static_runs50_B2to16_seed10_step1_6/dLVR_summary.csv
7,static,Static,passive,Passive LPs,25919950,0.0035003496732301,0.1746885859017825,0.0003132074825629,0.3132074825629,-0.1577263484129768,-0.0011911943375539,0.0056418348885785,0.1771884079170994,/mnt/external/scenarios/model2_static/lvr_vs_blocksize/static_flow_model2_static_runs50_B2to16_seed10_step1_6/dLVR_summary.csv
7,static,Static,jiter,Jiter,5624,-0.1030248854573249,0.1978444463969273,-0.0358377147467792,-35.8377147467792,-0.6201036764475252,-0.1062732290082882,-0.0103210846776903,-0.0001362131729323,/mnt/external/scenarios/model2_static/lvr_vs_blocksize/static_flow_model2_static_runs50_B2to16_seed10_step1_6/dLVR_summary.csv
7,toxicity,Toxicity,active,Active LPs,6367450,0.1252729871353941,0.4794936501483611,0.0071012103857324,7.1012103857324,-0.0925820941547903,-4.853644526292555e-06,0.0874088407912572,1.0918546370714766,/mnt/external/scenarios/model2_tox/lvr_vs_blocksize/toxicity_flow_model2_tox_runs50_B2to16_seed10_step1_2/dLVR_summary.csv
7,toxicity,Toxicity,passive,Passive LPs,6367450,0.0031354558741083,0.035733805110614,0.0001666724246905,0.1666724246905,-0.0030676755446398,-4.461667145960746e-06,0.0026019260728152,0.0301419733440882,/mnt/external/scenarios/model2_tox/lvr_vs_blocksize/toxicity_flow_model2_tox_runs50_B2to16_seed10_step1_2/dLVR_summary.csv
7,toxicity,Toxicity,jiter,Jiter,1551016,0.0065877503651542,0.2669145930092743,0.0032551459235194,3.2551459235194,-0.3942508647984599,-0.0206460041160738,0.0377276836051685,0.4059608899902458,/mnt/external/scenarios/model2_tox/lvr_vs_blocksize/toxicity_flow_model2_tox_runs50_B2to16_seed10_step1_2/dLVR_summary.csv
7,volatility_cex,Volatility (CEX),active,Active LPs,6367450,0.0898253129652883,0.3834644768059344,0.0037791431975825,3.7791431975825,-0.0819292268515483,-1.0875184656811143e-05,0.061739640788804,0.7992500488524692,/mnt/external/scenarios/model2_vol_cex/lvr_vs_blocksize/volatility_cex_flow_model2_vol_cex_runs50_B2to16_seed10_step1_2/dLVR_summary.csv
7,volatility_cex,Volatility (CEX),passive,Passive LPs,6367450,0.0031839087080163,0.0525363511739072,0.0001446990930299,0.1446990930299,-0.0044664516816963,-6.721432122200156e-06,0.0026229113950559,0.0299408529222117,/mnt/external/scenarios/model2_vol_cex/lvr_vs_blocksize/volatility_cex_flow_model2_vol_cex_runs50_B2to16_seed10_step1_2/dLVR_summary.csv
